,cell_name,total_mass,chr1_mass,cell_type
2441,arc_pair_248627,32.137642,9.264123000000001,Dendritic cells
2443,arc_pair_94919,48.880967,21.748191,B cells
2447,arc_pair_554896,39.15851000000001,12.765097,Monocytes
2451,arc_pair_467082,47.373257,15.370337,Monocytes
2453,arc_pair_238899,42.248666,14.907451,B cells
2455,arc_pair_660020,136.948473,43.182612999999996,Monocytes
2471,arc_pair_621185,22.806461,7.895251,NK cells
2476,arc_pair_606425,36.815351,11.180418,Dendritic cells
2481,arc_pair_215934,431.64151200000003,133.134278,NK cells
2483,arc_pair_502599,41.953373,11.186582000000001,Monocytes
2487,arc_pair_507631,39.933941000000004,11.662075999999999,Monocytes
2488,arc_pair_178102,141.52587799999998,34.090108,CD8+ T cells
2492,arc_pair_609695,46.60231,14.628048000000001,NK cells
2495,arc_pair_98310,37.168994000000005,8.651198999999998,Monocytes
2500,arc_pair_178899,34.209784,8.105865000000001,CD4+ T cells
2528,arc_pair_707208,30.899647,8.732904000000001,Monocytes
2532,arc_pair_234967,22.443123,7.053632,Monocytes
2536,arc_pair_103712,55.196888,14.208725000000001,Monocytes
2541,arc_pair_660112,49.634057,13.908951000000002,B cells
2548,arc_pair_629487,37.946719,10.134640000000001,Dendritic cells
2556,arc_pair_178319,33.327976,9.766787,B cells
2564,arc_pair_499084,28.609028,6.598286,CD4+ T cells
2565,arc_pair_531236,79.780033,22.077111000000002,Monocytes
2570,arc_pair_659947,31.548941,9.099734,Monocytes
2584,arc_pair_683881,22.416276,5.681081000000001,CD4+ T cells
2589,arc_pair_583587,36.45565,14.127909,Monocytes
2597,arc_pair_461199,30.066766,8.266728,Monocytes
2602,arc_pair_585516,57.528476000000005,18.499356,CD8+ T cells
2605,arc_pair_499207,22.430627,6.053174,Monocytes
2609,arc_pair_582046,24.307459,6.654876999999999,Dendritic cells
2610,arc_pair_266893,29.520512999999998,7.6160179999999995,Monocytes
2613,arc_pair_5593,37.941281,12.755355999999999,B cells
2624,arc_pair_658213,580.719296,176.557893,B cells
2629,arc_pair_649052,34.991243,9.477530999999999,B cells
2648,arc_pair_312760,281.177366,75.832288,CD4+ T cells
2651,arc_pair_470264,22.474609,5.665128,Dendritic cells
2668,arc_pair_16669,24.785896,8.376396,Monocytes
2672,arc_pair_333656,85.47006099999999,28.696363000000005,Monocytes
2688,arc_pair_543774,459.463894,104.91555199999999,CD4+ T cells
2699,arc_pair_684313,22.503189,6.840201,Monocytes
2700,arc_pair_547388,24.520572,8.157297,CD4+ T cells
2705,arc_pair_430587,90.45187200000001,25.527854000000005,Monocytes
2708,arc_pair_585557,47.627168999999995,13.676784999999999,CD4+ T cells
