,cell_name,total_mass_4mb_85,total_mass_1mb_95,total_mass_1mb_98,cell_line
282,cell594_K562_,110.74738097718124,949.7062167015107,367.12082925883465,K562
283,cell248_HAP1_,80.7415924887398,785.852952684344,339.3927921556275,HAP1
284,cell116_HAP1_,59.600109250165346,718.6406496584882,323.6072540098042,HAP1
285,cell0_HeLa_,110.31722721738566,888.3933225122639,352.27062019548015,HeLa
286,cell485_HeLa_,69.4264700078403,727.0147854486003,331.9951541304318,HeLa
287,cell601_GM12878_,50.5598994618532,613.2714716026697,302.4526793257756,GM12878
288,cell121_HAP1_,136.68875943676517,940.6968988452397,360.4559839992738,HAP1
289,cell540_K562_,114.82012470055005,941.0318316532487,372.11999327750647,K562
290,cell210_HeLa_,107.27263716483807,871.9392869258502,356.72898251765196,HeLa
291,cell272_HeLa_,103.71947374378195,905.7665387136808,361.7846143062708,HeLa
292,cell522_K562_,104.38195703494384,871.5170905938121,358.8766270959446,K562
293,cell84_HAP1_,93.39178847272314,891.3641601204982,358.54070269761405,HAP1
294,cell515_K562_,105.39738273195758,928.8725220897973,370.1985911993469,K562
295,cell197_HAP1_,104.29640788129944,846.217664423056,343.8250999560393,HAP1
296,cell366_HeLa_,89.55130842059994,861.2701053708104,351.2158540867897,HeLa
297,cell488_HAP1_,60.29178493234532,681.9456386167942,311.5495783832904,HAP1
298,cell351_HeLa_,95.92751210952052,833.9883096705285,349.1932961285513,HeLa
299,cell527_GM12878_,73.01351034116719,713.8168114327126,306.77811103873387,GM12878
300,cell605_GM12878_,63.05866036577273,729.0222987909361,331.7135264289234,GM12878
301,cell168_HAP1_,90.959541042655,840.1132734376131,353.4021482625898,HAP1
302,cell477_HAP1_,57.55861000618302,713.2438071902051,326.0832700970653,HAP1
303,cell236_HAP1_,96.58707201822845,865.5111502700104,355.9717412021257,HAP1
304,cell340_HAP1_,47.671655046139655,623.5275808435014,321.45271125435875,HAP1
305,cell415_HAP1_,79.58785702610581,813.4058874737223,351.9175405048255,HAP1
306,cell377_HAP1_,44.820997082464224,622.9593788045254,308.40351674238605,HAP1
307,cell186_HeLa_,101.9058505942434,904.3691105724893,362.6382704021074,HeLa
308,cell95_HeLa_,99.05780887143571,883.0367982039547,367.59013211294365,HeLa
309,cell588_K562_,73.10348103141314,806.4507618284778,346.69379846260233,K562
310,cell31_HeLa_,108.53098626915309,882.5408481040615,361.90873290603065,HeLa
311,cell122_HeLa_,107.78017763245398,895.4143940035573,362.2613184975015,HeLa
312,cell578_GM12878_,114.46678749805982,907.9074002027021,360.8191282627602,GM12878
313,cell199_HAP1_,126.49134968573912,980.0369385466821,372.53147116608807,HAP1
314,cell486_HAP1_,62.622290928251516,755.2003582098943,338.58345964689136,HAP1
315,cell368_HeLa_,101.50648009952454,852.1720932108944,355.20084214560546,HeLa
316,cell229_HeLa_,92.64179776067408,833.2202074718931,356.08409539695515,HeLa
317,cell579_K562_,71.31941243177212,773.7013472085756,326.338171590396,K562
318,cell64_HeLa_,111.31047103198011,857.8374575256875,347.3445830670764,HeLa
319,cell140_HeLa_,114.37954051269304,895.483127718859,358.38623543198537,HeLa
320,cell610_K562_,54.421623130566026,592.7207013992823,291.92486521088415,K562
321,cell386_HAP1_,52.96993319471538,690.2467035831446,330.7844550263204,HAP1
322,cell497_HeLa_,30.88561534111445,466.2216899974707,273.66245952368314,HeLa
323,cell188_HeLa_,79.07137483849763,826.3154722909092,355.78193105454545,HeLa
324,cell586_K562_,62.152277929962125,763.5344025834464,341.2051579649915,K562
325,cell166_HAP1_,45.68525671408201,570.5396147961246,297.43283884496725,HAP1
326,cell479_HAP1_,51.381283949468134,608.7640654516377,299.28201730301294,HAP1
327,cell151_HAP1_,87.8107219778687,833.2153501961116,349.3563815847893,HAP1
328,cell283_HeLa_,110.73769488735137,885.3231358407787,357.66220752074605,HeLa
329,cell42_HAP1_,51.0592147961725,622.456588757134,317.36871372868336,HAP1
330,cell416_HeLa_,102.33244092507573,879.6439343525313,357.4458453733362,HeLa
331,cell109_HeLa_,71.76677172441154,845.8451741730512,357.0817233519635,HeLa
332,cell374_HeLa_,70.48626835172911,763.3828919839922,333.0523031243148,HeLa
333,cell530_K562_,101.432123498425,908.0209758917084,361.43542989884406,K562
334,cell260_HeLa_,88.96810683373602,848.0386642113464,357.4706353141157,HeLa
335,cell257_HeLa_,102.77135456275974,914.785021159805,362.69401662819763,HeLa
336,cell507_K562_,107.5431299669743,907.8976168254727,363.94041629587826,K562
337,cell321_HeLa_,88.16425669587092,861.6224629312974,361.33721582374704,HeLa
338,cell202_HeLa_,86.5369826543219,863.7374493710804,355.3149501201684,HeLa
339,cell552_K562_,102.58590808556585,902.9862039688967,361.48784880930924,K562
340,cell565_K562_,62.47295611433459,749.0782536909834,334.291431422435,K562
341,cell87_HeLa_,102.23809609752341,842.6447800284427,349.33756010693094,HeLa
342,cell271_HAP1_,73.59763896129886,834.5266375115814,352.55206514071415,HAP1
343,cell352_HAP1_,84.46587998942118,825.7000969722651,349.7003689427986,HAP1
344,cell430_HAP1_,71.21133861467493,770.2452671797021,331.2588971411742,HAP1
345,cell118_HAP1_,139.17984174525063,895.2766966525626,352.6862840906174,HAP1
346,cell407_HAP1_,67.86645062069414,765.8670247166438,339.2405861943846,HAP1
