,cell_name,cell_type,total_mass
514,arc_pair_50114,CD4+ T cells,11.730313325783314
515,arc_pair_50157,NK cells,10.2438058347292
516,arc_pair_50279,Dendritic cells,132.44959801371482
517,arc_pair_50399,NK cells,30.207465237136567
518,arc_pair_50407,CD8+ T cells,14.653620856131315
519,arc_pair_50429,T cells,8.020122447232096
520,arc_pair_50524,T cells,9.693051608763406
521,arc_pair_50826,CD4+ T cells,11.049609963802
522,arc_pair_50957,NK cells,9.084277750150497
523,arc_pair_51238,CD4+ T cells,14.627041937847508
524,arc_pair_51312,T cells,27.03977825685248
525,arc_pair_51364,NK cells,13.262577353164694
526,arc_pair_51394,Monocytes,11.7925041634376
527,arc_pair_51476,CD4+ T cells,10.866069715382157
528,arc_pair_51693,Monocytes,43.17515147223936
529,arc_pair_51709,CD4+ T cells,23.789606737583615
530,arc_pair_51712,T cells,15.09144024975864
531,arc_pair_51762,CD4+ T cells,42.63252885308968
532,arc_pair_51770,T cells,35.91349015567766
533,arc_pair_51783,Dendritic cells,20.121288589511387
534,arc_pair_51812,CD8+ T cells,14.39404709667983
535,arc_pair_51858,Monocytes,71.10527618369967
536,arc_pair_51880,Monocytes,27.650076507072523
537,arc_pair_51885,CD4+ T cells,9.118806154839405
538,arc_pair_51901,T cells,19.02018269485977
539,arc_pair_51954,CD4+ T cells,15.892432457589647
540,arc_pair_52051,CD4+ T cells,10.642730730624963
541,arc_pair_52058,Monocytes,28.70684291284823
542,arc_pair_52083,Monocytes,36.82549595885378
543,arc_pair_52117,Monocytes,77.65254100737971
544,arc_pair_52239,Monocytes,11.099647628652896
545,arc_pair_52289,NK cells,46.2012903748296
546,arc_pair_52621,T cells,10.399002608385905
547,arc_pair_52634,CD4+ T cells,10.364416436464088
548,arc_pair_52910,Monocytes,29.350219606202753
549,arc_pair_53033,NK cells,25.37872747568171
550,arc_pair_53216,CD4+ T cells,15.18803325609922
551,arc_pair_53280,CD4+ T cells,17.503559731407837
552,arc_pair_53399,T cells,7.901100643473434
553,arc_pair_53443,NK cells,13.818062533450735
554,arc_pair_53798,NK cells,13.996636492923091
555,arc_pair_53954,Monocytes,16.56853612708535
556,arc_pair_54025,CD4+ T cells,23.095636222968167
557,arc_pair_54226,NK cells,27.87252333011538
558,arc_pair_54236,CD4+ T cells,39.533386730307136
559,arc_pair_54246,CD8+ T cells,11.876986562990249
560,arc_pair_54318,T cells,13.375851005555994
561,arc_pair_54348,T cells,14.967363489626392
562,arc_pair_54353,T cells,11.150294418391452
563,arc_pair_54429,T cells,15.945124152593364
564,arc_pair_54579,CD4+ T cells,8.23610382614366
565,arc_pair_54636,CD4+ T cells,16.591940801176385
566,arc_pair_54681,NK cells,18.198771111570977
567,arc_pair_54831,NK cells,13.604188013488084
568,arc_pair_55072,CD4+ T cells,325.7385333442512
569,arc_pair_55074,B cells,20.02990870888277
570,arc_pair_55091,NK cells,16.392904965096143
571,arc_pair_55202,T cells,9.371538749242298
572,arc_pair_55290,Monocytes,19.229047217537943
573,arc_pair_55314,T cells,43.48813261850242
574,arc_pair_55389,CD8+ T cells,13.685932743875926
575,arc_pair_55391,T cells,7.863693317422435
576,arc_pair_55552,CD4+ T cells,21.414041246160597
577,arc_pair_55580,NK cells,5.497015747411963
578,arc_pair_55691,CD4+ T cells,19.29963230534193
579,arc_pair_55935,CD4+ T cells,8.317333728995882
580,arc_pair_56027,CD8+ T cells,9.301536469270614
581,arc_pair_56028,Dendritic cells,14.037929392383232
582,arc_pair_56095,T cells,27.82352562617448
583,arc_pair_56226,CD4+ T cells,25.94056892399158
584,arc_pair_56339,Monocytes,17.379374725435643
585,arc_pair_56430,NK cells,18.56479263960404
586,arc_pair_56445,T cells,19.32329146656815
587,arc_pair_56473,Monocytes,22.157600014358273
588,arc_pair_56558,CD8+ T cells,8.571815549784407
589,arc_pair_56754,B cells,14.54833823196925
590,arc_pair_56775,T cells,14.778646302830504
591,arc_pair_56779,T cells,11.595124874352432
592,arc_pair_57139,B cells,27.255816680739283
593,arc_pair_57300,Monocytes,29.588550802003105
594,arc_pair_57349,CD4+ T cells,9.240314422942172
595,arc_pair_57489,CD4+ T cells,7.464983945047352
596,arc_pair_57647,T cells,11.579919001706308
597,arc_pair_57788,CD4+ T cells,21.71501003485793
598,arc_pair_57816,CD4+ T cells,11.037834115267076
599,arc_pair_57840,Monocytes,50.49833633994788
600,arc_pair_57971,CD4+ T cells,9.273341045724363
601,arc_pair_58013,T cells,13.44196361756262
602,arc_pair_58054,Dendritic cells,44.63082640289558
603,arc_pair_58274,T cells,7.133357514206261
604,arc_pair_58367,CD8+ T cells,15.357347176607693
605,arc_pair_58389,CD4+ T cells,29.426368206169023
606,arc_pair_58545,CD4+ T cells,51.35723687541133
607,arc_pair_58598,Monocytes,18.15482671369422
608,arc_pair_58609,NK cells,14.158867436460818
609,arc_pair_58634,T cells,15.649392666590987
610,arc_pair_58651,Monocytes,19.865719452337895
611,arc_pair_58682,Monocytes,10.501494815851409
612,arc_pair_58785,T cells,15.914483058898035
