,cell547_K562_,cell126_HeLa_,cell144_HeLa_,cell287_HeLa_,cell253_HeLa_,cell456_HAP1_,cell539_GM12878_,cell150_HeLa_,cell580_GM12878_,cell30_HAP1_,cell504_GM12878_,cell124_HAP1_,cell559_K562_,cell572_K562_,cell102_HAP1_,cell44_HAP1_,cell315_HeLa_,cell557_GM12878_,cell585_K562_,cell76_HAP1_,cell613_K562_,cell601_GM12878_,cell578_GM12878_,cell610_K562_,cell224_HAP1_,cell617_GM12878_,cell568_K562_,cell379_HeLa_,cell56_HAP1_,cell457_HAP1_,cell551_GM12878_,cell519_K562_,cell164_HeLa_,cell450_HeLa_,cell514_K562_,cell595_GM12878_,cell502_GM12878_,cell355_HAP1_,cell500_K562_,cell219_HeLa_
cell601_GM12878_,3.4471803102161807,4.055230340791064,3.599159143492864,4.558919404187948,4.050353332086215,4.691837927596802,2.9487868038797975,4.9034068920276646,6.910894704582606,8.118378520446765,7.777491688253198,5.517396906892332,3.3901895686645087,3.104782892650321,4.1863679432531535,4.221256441189778,4.225104420682566,2.9310173195530975,5.879180524530603,3.4202375424709315,3.696255626837672,0.0,7.479137514988594,2.7858078499800207,4.980877392927614,6.811759175918944,4.960765946606436,5.9740182092334315,3.6873806743795625,3.3268250232145395,2.9505471065693034,3.086510438087239,4.908963922878129,4.034690042066801,4.485721248976294,3.1079749014452416,8.9350659811715,3.379974879480482,6.273712969292888,5.353467700924083
cell578_GM12878_,5.030228623592468,2.841957838424162,4.599698303548914,2.709691412133977,4.0679616764854085,5.386250147620723,4.983983434833261,4.050150338854966,4.37198469637527,2.3368078080080092,2.9165970049506678,2.905663645659036,5.021965802294728,5.419968952992857,6.086770919594699,5.4082624900068375,4.066848309033286,5.017076013194386,2.867819474100126,5.340469439731711,4.6396608781987485,7.479137514988594,0.0,6.447647078654841,3.970846713562482,3.2496201501073685,3.1247040798469485,3.951351778660869,4.652627713295813,6.910583046906259,5.497701762868925,6.104148834247137,2.8407875673316907,4.93599865585853,3.808105849335236,4.74245072172063,3.2856257986629105,5.142933087736846,2.4964188326906522,2.483291055375491
cell610_K562_,2.8127077232897744,3.387532307538871,2.7515474897330927,3.6628265099666475,3.3042027511703105,3.959465932073746,2.5605188584784275,4.198975310882352,5.667375568065015,7.044352091402221,7.0414221162169035,4.4728123358548695,2.292501181192285,2.6625148407767925,3.5173806054959544,3.2930836561238923,3.112887691924266,2.6651098951500396,4.375485903405619,3.1506037586296305,2.9277278928709265,2.7858078499800207,6.447647078654841,0.0,4.579484358249413,5.878527948135183,4.01260001924774,5.5597739431183015,2.9259739235610747,2.6855134949086237,2.647885523158988,2.3738319303627686,3.9439427448263347,3.4334043040056836,3.465998766583546,2.6183689103071544,8.174018778154984,2.732509653266212,4.753273573172262,4.224566251739482
cell224_HAP1_,4.078325597113887,2.889771662718581,3.31540434113065,2.780072709167883,3.179404676703016,4.208401499742032,3.8481094551317785,3.5138298255729556,5.064500477427847,3.8241227498802215,4.3335579818604035,3.3240968726938624,3.813607682310516,3.7571354052847714,4.572048756246096,4.651663904966334,3.3430901422397197,3.541230809076697,3.4274413978635447,4.352078511304226,3.674493040551008,4.980877392927614,3.970846713562482,4.579484358249413,0.0,3.967341842672343,3.4380460465849842,3.53402948505929,3.62147881520772,4.6805045921215545,3.955512561302149,4.298869777926827,3.1048951319156965,4.340672958502688,3.153549374198832,3.338016944534183,5.230464769250771,3.539188239578974,3.502518754571537,3.141075157514125
cell617_GM12878_,4.47083513806488,3.334495783148607,4.696689417541107,3.155256580542402,4.439099863024605,4.8099954728642995,5.225961464957786,3.896164762641696,4.3472514678733605,3.2780883711989794,3.894850988470173,3.400297005060894,4.703162688097519,5.1384557899296635,5.224088302156661,6.075910610360412,4.165062372926718,4.585333885345433,3.244092770608826,5.341361224941187,4.5502534810370365,6.811759175918944,3.2496201501073685,5.878527948135183,3.967341842672343,0.0,3.2244806738801817,4.247394699364842,4.962074728040443,6.052744520422579,5.198075581116272,5.267566067005514,3.4227022152947884,4.692849154839804,3.636069067591433,4.533379355839719,4.348334719526653,4.904073679025259,2.879503310081496,3.3143322796141543
cell568_K562_,3.5133463687824875,2.1480997707247207,3.2782609040467925,1.9229115901024056,3.168951381623579,4.354373497935454,3.6427078290409085,3.2414934668709185,3.7220419285511808,3.0023640943353045,3.9339194913405837,2.6901019562142627,3.122061221220542,3.5967553215249977,4.256677821955824,4.12682114403567,2.673969664042225,3.5513762624259333,2.167059668763641,3.6296566714019187,3.089432357220332,4.960765946606436,3.1247040798469485,4.01260001924774,3.4380460465849842,3.2244806738801817,0.0,3.40846843688795,3.0872710616239254,4.691415463389896,3.9152146372529413,3.8654061813577005,2.2199000843258125,3.7514936971825787,2.402663024838064,3.1503041093989843,3.976576949264872,3.3029140449864176,2.030752663384203,2.3906313207601104
cell379_HeLa_,4.840938351864141,3.0842296930485005,3.9507898536529327,2.667238279355304,3.117872163407977,4.779177617459341,4.410968950388509,3.810323900488652,4.316959403001874,2.927013279967979,3.7816557491545337,3.2994506385453777,4.230262439677512,5.128461387121916,5.534451637864075,5.343210137746233,3.252733357870526,4.3103434099519875,3.147683711323813,4.912707868183186,4.700300251918218,5.9740182092334315,3.951351778660869,5.5597739431183015,3.53402948505929,4.247394699364842,3.40846843688795,0.0,4.30233268817248,6.11480614079078,4.75289850615156,5.385952767141831,2.636625274297807,4.668706105695061,3.1183085009287668,3.7405438690374213,4.169093166324664,4.638676463566989,3.1548897777267477,3.1594502855846587
cell56_HAP1_,3.3414052679512105,2.7311271501482905,2.5190210920599023,2.4580606871946067,2.934279270410161,4.242421098707723,2.7799118280816217,3.5622063418981202,4.962455342090275,4.971325514491355,4.987818439076666,3.512315777944001,3.084255469541726,3.4293658912291396,4.262418944354367,3.8253644632203794,2.8069497138840713,3.086251365161459,3.6991742260012472,3.0514765836119357,2.9849374771690265,3.6873806743795625,4.652627713295813,2.9259739235610747,3.62147881520772,4.962074728040443,3.0872710616239254,4.30233268817248,0.0,3.699632412080181,3.0973630030716133,3.0475024544220393,2.747155522575266,3.4823684570160083,3.058140985392508,2.521226747579106,5.7000153968066485,2.7433777663305046,3.4469009768672576,2.9020138090108536
cell457_HAP1_,3.441669979383605,4.282330030111922,3.51082253380578,4.255892290158835,4.097930380428037,4.159843484098715,3.035040457743981,4.749756790627455,6.608121678369533,7.708884617947756,7.6868157379935225,5.338263006912937,3.5438474128162554,2.9604963625575653,4.059106000898476,4.134363433381506,3.6963670077884556,3.182373183277285,5.677534092683357,3.7223985754387257,3.7484568141517833,3.3268250232145395,6.910583046906259,2.6855134949086237,4.6805045921215545,6.052744520422579,4.691415463389896,6.11480614079078,3.699632412080181,0.0,3.099175022576384,2.801679720562526,4.721427712457305,3.910187036178819,4.379660597391262,3.1134483640089883,8.90710942022457,3.0195945770829162,5.953591752217943,4.759482133226571
cell551_GM12878_,2.792194512049641,3.284756758701401,2.583112957005883,3.156553910007194,3.0570299447131326,3.791701379572327,2.6945051744206445,4.123154593576052,5.547003706746276,6.294155758872789,6.058972082757698,3.8718387668038106,2.693099637257733,2.925174448002169,3.6488541097895033,3.4418243281758762,3.1339819762495598,2.6449005642838266,4.333694053197676,2.9965363120627155,2.859942603196259,2.9505471065693034,5.497701762868925,2.647885523158988,3.955512561302149,5.198075581116272,3.9152146372529413,4.75289850615156,3.0973630030716133,3.099175022576384,0.0,2.939609702935071,3.5099271128620595,3.1411736761849154,3.625893056802683,2.6632554912104256,6.980242398951038,2.861138212333234,4.635948033585514,3.732146981800613
