,cell264_HAP1_,cell580_GM12878_,cell559_K562_,cell73_HeLa_,cell135_HeLa_,cell288_HeLa_,cell611_GM12878_,cell536_K562_,cell554_K562_,cell548_K562_,cell491_HeLa_,cell179_HAP1_,cell322_HeLa_,cell399_HAP1_,cell201_HeLa_,cell557_GM12878_,cell613_K562_,cell494_HAP1_,cell601_GM12878_,cell578_GM12878_,cell486_HAP1_,cell64_HeLa_,cell109_HeLa_,cell213_HAP1_,cell604_GM12878_,cell574_K562_,cell600_GM12878_,cell617_GM12878_,cell17_HeLa_,cell618_K562_,cell603_GM12878_,cell279_HAP1_,cell592_K562_,cell550_K562_,cell153_HAP1_,cell88_HeLa_,cell516_GM12878_,cell200_HAP1_,cell576_K562_,cell214_HAP1_
cell491_HeLa_,6.956890994168253,8.957284086461321,4.40336931428438,6.827572838476353,10.521254541345957,5.316879969350389,5.209880875624042,7.283318185397542,3.8991189377290736,8.458087546243126,0.0,11.212998953019316,9.623074080279732,6.843726300598862,5.24424696671979,4.014395488810513,4.370393804383177,4.112680415046949,2.9306952778926325,10.075934193361253,3.6085069043177436,7.963947966428737,4.453736730183442,7.527725192179606,6.479421363002368,7.609127474729547,4.945287621916746,8.571535357890241,5.135224675771765,5.071622377383772,4.874147918508278,5.425702087199166,6.23319931802536,7.754168772772278,5.494829712800391,10.393826339750913,5.6428628693630225,3.615063538090944,7.4207950620207,6.130421985439232
cell179_HAP1_,3.084944700434331,4.306243799205454,5.221187330316243,3.4574557235380725,2.7912376738476343,4.4393951261798055,5.5452320738554555,3.4326428795301327,6.308225004588011,2.5100583236609078,11.212998953019316,0.0,2.6409724810993556,4.73403984223186,4.0061998007218715,5.6298258207486445,5.148117822292572,6.545618154959699,8.474256289270588,2.3905482683639114,6.541564282857719,2.84240947468276,5.0668570386911025,2.5724256639785765,4.842816449217466,2.8401284249020016,5.742996067344344,3.0281745726883997,4.863843333326776,4.760647014015795,5.445821182169471,4.338911544924146,3.8761116286390114,2.5528852055011884,5.484087880332907,2.180927016374606,3.7578648500096636,7.013450174381356,2.597890903851689,4.070851425568957
cell322_HeLa_,3.3087543129446084,4.620934051129881,5.266976306576059,3.4460700582271797,3.1122136239823375,4.779401942316035,4.991872875739962,4.1631115790030195,6.2897999373033375,2.9034031592275724,9.623074080279732,2.6409724810993556,0.0,5.16392458076151,3.481915504149682,5.377347952608982,5.457468266287782,6.21479699471425,7.575087886113581,3.0688796018443574,6.094900138640487,2.766481673322738,4.9138392847682635,3.4026744075270945,4.543449939767556,3.0712191265618696,5.273207832815379,3.3838465815851517,4.143428134088191,4.372932109909492,5.479964580458872,4.079887140445625,3.9865405875502216,3.342598325532621,5.377466825395368,2.3857761717772834,3.9786535219597416,6.602594251155763,3.0834615642374423,4.052608525748319
cell399_HAP1_,3.9362208024600447,5.342439541144052,4.070399414379486,3.833353033445796,4.916149774525683,3.333761856093379,4.131695071806028,4.099329500080209,4.533976535597036,3.8177185005542285,6.843726300598862,4.73403984223186,5.16392458076151,0.0,3.3734254215055426,3.9837732060939333,3.783129356122181,4.620574081657166,5.262442654428522,4.331341010205619,4.707247206160034,4.512444516728193,4.021586584812763,3.7342412367350404,4.853570963952591,3.9108816727839644,4.014048971106972,4.978591780382518,3.8324686866360085,3.8146376411931886,4.29027764219157,4.125591350035275,3.922406189884607,4.058969981964695,4.819997459005815,4.769020496984753,3.7201797501404137,4.606294341177433,3.8243773295272416,4.237557405847845
cell201_HeLa_,2.6155157741816355,4.819197478781714,3.305475704893605,3.037342585059214,4.043283286429379,2.8596567779856756,3.273514642195282,2.8871344750998746,3.6735023472016435,2.9469763989440247,5.24424696671979,4.0061998007218715,3.481915504149682,3.3734254215055426,0.0,2.9282248663708916,2.950812925501951,3.7988723227426386,4.14713652508264,3.362840306538999,3.5814970277461633,2.822477908220149,2.639500220325783,2.7440308549607426,3.6074693949429006,2.722360697629478,3.2087909956019436,3.4626418378704606,2.758107127093713,2.6896699095342225,3.3892362372039555,2.9254360648626174,3.146252504368082,2.7087598061939304,3.6982927947553197,3.495766136511551,2.614210721286871,3.76579989128868,2.896437111695268,3.16644156862338
cell557_GM12878_,3.536175130701136,4.679708449031237,2.714185718136463,3.7755089336943097,5.4977159638965265,3.2026958324754644,3.1237945360168338,3.6003848198147548,2.8764765800926426,4.093395233813009,4.014395488810513,5.6298258207486445,5.377347952608982,3.9837732060939333,2.9282248663708916,0.0,2.5720300350074776,3.0963133092710624,2.9310173195530975,5.017076013194386,2.966292090601044,4.468320017796889,2.721942766246297,3.7612380892033443,3.8644047746480146,3.6639027657041985,3.3084727386169996,4.585333885345433,3.1061888664902453,2.7730448387391626,3.3262151874970103,3.016322416068088,3.5702570352341194,4.246016770039271,3.5321818560996894,5.226178409617106,3.1845877857321563,2.845531849752251,3.52129535689534,3.6213404250257124
cell613_K562_,3.56759700733014,4.739739099346988,2.7004373494175855,3.6790837136219494,5.0928389233202855,2.8918331866067932,3.342764756240955,3.5204123429986645,2.981256183489203,3.695018073750471,4.370393804383177,5.148117822292572,5.457468266287782,3.783129356122181,2.950812925501951,2.5720300350074776,0.0,3.4236546863038044,3.696255626837672,4.6396608781987485,3.122242846267378,3.9883601902663264,2.8848418986757896,3.28077570079611,3.759449983935732,3.3641106639807603,3.079962561334797,4.5502534810370365,3.479177241671204,3.0719596903171773,3.423273630224802,3.3482237926669383,2.9995488212014316,3.9968283338013855,3.635250481120173,5.126029749943031,3.3689010985640637,3.140651649646912,3.0875918904419892,3.310171658351309
cell494_HAP1_,4.253843782411984,5.90886942553089,3.3660579234538672,4.365783352388663,6.712149519008037,3.625729989983143,3.848631938574579,4.145477736074877,3.3685598382413007,5.1890908668916715,4.112680415046949,6.545618154959699,6.21479699471425,4.620574081657166,3.7988723227426386,3.0963133092710624,3.4236546863038044,0.0,3.744741896466939,6.226330643272474,3.516301516301332,5.03741453711281,3.2374056824485704,4.336599809650131,4.857380710201266,4.852003961206692,3.9041304208574417,5.1518734248556814,3.8533459091700206,3.7734369309199938,3.826870752031395,3.9058351738471373,4.210774551544176,4.998212827234112,4.150611025568051,6.451259769751681,3.9802163695892845,3.527377774011686,4.367110693956832,4.228424921542324
cell601_GM12878_,5.134676817457178,6.910894704582606,3.3901895686645087,5.250571935459428,8.355487073212341,3.951918785445016,3.8206581763071124,5.330535555526468,3.2871435933201747,6.102069816576698,2.9306952778926325,8.474256289270588,7.575087886113581,5.262442654428522,4.14713652508264,2.9310173195530975,3.696255626837672,3.744741896466939,0.0,7.479137514988594,3.3672862650474817,6.656373901382576,3.656431867398636,5.7167823928852295,4.8956222751545155,5.614120748916825,4.056600981670421,6.811759175918944,3.9971983031291503,3.7536403117994794,4.217850069096353,4.490808922162054,4.757045726232826,6.46134001619028,3.9535697244674735,7.860236274590903,4.284907673977586,3.147532864764701,5.491973258388698,4.759775705474929
cell578_GM12878_,2.8690627752324365,4.37198469637527,5.021965802294728,3.6546099295377816,3.326547364828011,4.085755136162199,4.818081457661878,3.0815384310661686,5.8236688791077444,2.610310002424058,10.075934193361253,2.3905482683639114,3.0688796018443574,4.331341010205619,3.362840306538999,5.017076013194386,4.6396608781987485,6.226330643272474,7.479137514988594,0.0,6.257088238329601,3.2099583975859103,4.699169732549022,3.1403164844312546,4.477880932055701,2.7310027452324332,4.885194841153835,3.2496201501073685,4.210037434874831,4.290783854715586,5.041104411649914,4.030984290247341,4.171992396877045,3.054175688222175,4.929430790083037,2.614732663631752,3.461461187561919,6.294856595093272,2.787440187039379,3.5979954083246164
cell486_HAP1_,4.0895351748028625,5.788761047860831,2.9867172461166605,4.187174842459778,6.604104188344454,3.1501676486747643,3.5262244309608395,4.510179274375353,3.101631687369188,5.072191870641172,3.6085069043177436,6.541564282857719,6.094900138640487,4.707247206160034,3.5814970277461633,2.966292090601044,3.122242846267378,3.516301516301332,3.3672862650474817,6.257088238329601,0.0,5.063323832205008,3.3691682735367787,4.387693707891165,4.388414305680104,4.739102091129975,3.3400147490004963,5.549418001584819,3.518344726308859,3.643270137712845,3.901378579660621,3.4572075668521185,3.848786829457798,4.967854071749045,4.059379270777517,6.194583930347741,4.044624900117653,3.160309884149621,4.614347503042151,3.9216737140644056
