,cell512_K562_,cell583_GM12878_,cell393_HAP1_,cell173_HeLa_,cell137_HAP1_,cell370_HeLa_,cell38_HAP1_,cell577_GM12878_,cell517_GM12878_,cell524_GM12878_,cell611_GM12878_,cell545_K562_,cell266_HeLa_,cell616_K562_,cell599_K562_,cell553_GM12878_,cell566_K562_,cell585_K562_,cell98_HAP1_,cell509_K562_,cell488_HAP1_,cell610_K562_,cell151_HAP1_,cell365_HeLa_,cell617_GM12878_,cell47_HeLa_,cell592_K562_,cell560_K562_,cell324_HeLa_,cell562_GM12878_,cell249_HeLa_,cell484_HAP1_,cell571_GM12878_,cell15_HAP1_,cell77_HAP1_,cell398_HeLa_,cell262_HAP1_,cell595_GM12878_,cell267_HeLa_,cell112_HeLa_
cell611_GM12878_,3.6289842899713123,3.8524824378031974,5.005672356525969,3.554976745985945,3.633154219409202,3.380224633794291,3.460433807360773,4.181476428197845,4.213870236645769,3.3583465632514304,0.0,3.818495921523585,3.152224686867684,3.2196555587890594,3.368977681372008,3.631031492397257,3.964321238956931,4.1045041425696684,4.321313264673929,3.4805013667909837,3.4965748981379985,3.7828553694972493,3.0881479820156423,3.550784630456879,4.730897366828362,3.339645317573014,3.6632917989359663,4.806381820151357,3.682269137953159,3.498207044625433,4.0442473388310685,5.422265945752439,3.316221950193156,4.208818833570737,3.442820548696326,4.378278989925011,3.852793324266071,3.0082229364099815,3.58513690986571,3.0993289707713503
cell545_K562_,2.916887020562365,4.490671977144784,5.628763028057809,2.8157552328979545,4.220289930250412,3.268164415142036,2.1217519801758935,3.999855291480398,3.4936713049155257,4.81727622615723,3.818495921523585,0.0,3.034534585185652,3.715762156000219,4.1973968572963365,4.667323944507531,2.2191422596996744,2.2796959449212246,4.144537712575043,3.4724138068972037,4.979513198671112,4.947741007576666,3.285437482941461,4.651787690961521,3.386764255108754,3.3923006639473035,3.006811309756034,2.159537979137243,3.215954131633527,4.385710989211176,2.65723696399779,5.608225870897332,2.876093663153574,6.00946541865499,4.521188823955503,3.061158754878176,3.513791976576973,3.625298414988775,2.9213728784379587,2.314341974952887
cell266_HeLa_,2.310640763468739,3.463753886783545,4.355315874430952,2.8528279760187045,3.183145177928731,2.6935059352257094,2.420902940150047,3.8682307080808003,3.182577713396383,3.3367040432593784,3.152224686867684,3.034534585185652,0.0,2.8973238010796596,2.739225103821348,3.1424745179490863,2.7500359256152236,2.9182558334873043,3.311605408012593,3.0092912573062764,3.50651384800931,3.1625864358086067,3.0746000786416623,2.992929529464325,3.7982845344208025,2.9536845226948256,2.95705402376381,3.588338185055153,2.468852368888282,2.8359213892374324,2.364473384387109,4.597904136125868,2.774054679560611,3.5646689850047424,3.3859230175876713,2.7302119905529576,3.381592557053807,2.61052777963466,2.8029246927935945,1.8309747738976387
cell616_K562_,2.6383187837964077,3.6493912975601055,5.347771015183875,3.484246418364349,3.3790191328842942,2.7770351117013266,3.545833741626116,4.408213780414545,4.207223151421504,3.1069262974354466,3.2196555587890594,3.715762156000219,2.8973238010796596,0.0,2.116678363825674,2.8521579335234764,3.4687266577287295,3.241286084231673,4.109533598201893,2.6310273328061715,3.450165125334623,2.4606098543701806,3.2407328110278555,3.0128614213791765,4.7050923660364425,3.608635078998814,2.7713778112523975,4.6746235544808,3.3458229359488554,2.640125122556239,3.84791015063697,5.1831075262265855,3.3999791962148906,3.414018674499374,3.359610936397185,4.027883482718922,3.390607953007593,2.3390521972292784,3.4752619645063056,2.7245472624953324
cell599_K562_,3.169002939886674,4.240676617816112,5.454617992863544,4.159398488040363,3.218827596435341,3.007050772351467,4.015003180614689,5.344399769303571,4.5705772958748865,3.2369499329408917,3.368977681372008,4.1973968572963365,2.739225103821348,2.116678363825674,0.0,2.9803090039682427,4.209039662675255,3.966435548302398,4.539073865143222,3.3100358604362228,3.8324988777975273,2.5482270619311964,4.214779516779726,3.2820280842226612,5.595084633619349,4.026983550504224,3.164122065665147,5.59015338551693,3.5489667066795603,2.8676341766235325,4.301604553220345,6.180054237244148,3.7991528508765207,3.1136176864797456,3.808028374649381,4.679627365907493,3.631539601016032,2.677521692579409,4.038879120418132,2.863879596115305
cell553_GM12878_,3.4067299050156166,3.8206220717730868,5.8939058043253825,4.657654483039752,3.322397639633399,3.294110023574572,4.214329231981982,5.253059417117559,4.535443157303843,3.3111393898501644,3.631031492397257,4.667323944507531,3.1424745179490863,2.8521579335234764,2.9803090039682427,0.0,4.86665288290375,4.40578339178019,4.187908752142347,3.5777087598856347,3.7755618509064233,2.910765164666058,3.964524059472886,3.4569206873344935,5.626325888753259,4.276774007435376,4.162131172439576,5.4030261508909465,3.617274775077648,3.1106481727975677,4.619624543473271,5.7836086452800055,3.7065037965447103,3.1129082255778604,3.7391733156612252,4.906265680465729,4.101804574353803,2.908626024177965,4.04553962739741,3.2024353800325165
cell566_K562_,2.4011888841182847,4.553232466165445,5.16586959738185,2.513313510880276,4.135283365653274,2.9608553915532116,1.819938149450985,3.746114431437178,3.4773757937980436,5.106577994752103,3.964321238956931,2.2191422596996744,2.7500359256152236,3.4687266577287295,4.209039662675255,4.86665288290375,0.0,1.6473591486135812,3.653016726065336,3.3496864293942092,4.933551775180391,4.99038984062097,2.866775826012499,4.261475634114648,3.056507496381048,2.8253182813035336,2.623428654963021,2.124279605663977,2.890294480114644,4.082381217869451,2.199429817992132,5.042879514611548,2.942679983297957,5.9370039850585705,4.473228422333588,2.4595990714471485,3.4889735544886813,3.557478060751977,2.2228846997999288,2.109524669416797
cell585_K562_,2.4027017534111157,4.59716411162762,5.694619118968808,2.5279125451303974,4.025015118418187,3.060310712814778,2.0535343492643254,3.8773703420324193,3.1662097101817426,4.65794410948032,4.1045041425696684,2.2796959449212246,2.9182558334873043,3.241286084231673,3.966435548302398,4.40578339178019,1.6473591486135812,0.0,4.117380472595455,3.0909683509167305,5.063687051326826,4.375485903405619,3.172615003463193,4.373667073339985,3.244092770608826,3.0623635855843263,2.551958484728134,2.1726590263632097,3.067381791406825,3.95102132082398,2.449924053514599,5.1809860255805855,3.0009803421022774,5.649250490159821,4.570380442148723,2.763183481002476,3.4641152795642203,3.4355757206916375,2.6573695283922563,2.266491957737822
cell98_HAP1_,3.80803752112008,4.1223619730695225,4.817616912435378,4.125925189557169,4.199266369611836,3.732510597944722,3.375490712133436,4.62386053192018,4.180813796186989,4.270880948096654,4.321313264673929,4.144537712575043,3.311605408012593,4.109533598201893,4.539073865143222,4.187908752142347,3.653016726065336,4.117380472595455,0.0,4.1116673045485586,4.615481082587841,4.4825061667880455,3.342494646652915,3.8947820802652386,4.2502111639851305,3.7977873415114725,4.035573522608683,4.4903902532014035,3.524438363531675,3.905773387439369,3.7076199234402107,5.204765170907967,3.6569283817866713,5.080312569553657,3.891021939693152,4.062268283683808,4.10420218272705,3.624452595497453,4.012534474034668,3.152560444505566
cell509_K562_,2.6725213832595376,3.8249338638119,5.37822860641502,3.642043830238997,3.859307816441855,3.273722209595881,3.264602404854638,4.0943012656151225,3.9335470002632187,3.754869691594214,3.4805013667909837,3.4724138068972037,3.0092912573062764,2.6310273328061715,3.3100358604362228,3.5777087598856347,3.3496864293942092,3.0909683509167305,4.1116673045485586,0.0,4.166022592988384,3.2067256742919854,3.4405743897967693,3.68476239482509,4.558454362804011,3.8311253754543664,3.3304098772878703,4.092449750775656,3.3283750886543153,3.214373869246961,3.572061789559735,5.697487456169169,3.2416038476893823,4.255953082370384,4.025609042302859,3.8251342988820856,3.714910363197881,2.9866391335589664,3.1365425615894367,2.7596639278386697
