,cell547_K562_,cell382_HeLa_,cell577_GM12878_,cell453_HAP1_,cell475_HeLa_,cell575_K562_,cell524_GM12878_,cell611_GM12878_,cell266_HeLa_,cell553_GM12878_,cell254_HeLa_,cell566_K562_,cell23_HAP1_,cell601_GM12878_,cell522_K562_,cell151_HAP1_,cell202_HeLa_,cell552_K562_,cell565_K562_,cell213_HAP1_,cell474_HAP1_,cell508_GM12878_,cell543_K562_,cell513_K562_,cell329_HeLa_,cell603_GM12878_,cell542_GM12878_,cell402_HAP1_,cell560_K562_,cell319_HeLa_,cell581_GM12878_,cell516_GM12878_,cell200_HAP1_,cell414_HAP1_,cell161_HeLa_,cell276_HAP1_,cell537_K562_,cell284_HeLa_,cell72_HAP1_,cell219_HeLa_
cell474_HAP1_,4.318278092940522,3.9468382225929695,5.280146943556101,5.584699547719465,4.11885578151559,5.172832032967657,4.239033163516521,4.720441888967958,3.625615780790418,4.629992728161816,4.119656490290401,4.876846865655964,4.780981444262786,4.607646870291797,5.34910790492499,4.540068189720422,4.2346765786575835,4.527258117229463,4.461047019358098,4.940569434529058,0.0,4.10844426473685,5.059332717040302,5.149954705972386,3.971396167821539,4.714705011508041,5.0935811079489515,4.579091169564576,5.690687665487262,4.285149100547484,4.5000748293803445,4.054273072199589,4.321889498756304,4.50901407352057,5.215833401089036,4.144202927793565,4.451321335646858,4.980573641194283,4.73248126042237,4.204354022149914
cell508_GM12878_,3.4787791549417757,2.8735003498280514,4.412818823074971,4.838823512873667,3.5206456530408623,3.4448801591301867,3.8287446089535493,3.7795554564353817,2.8016919002347613,3.988976360402867,3.3058503920277054,3.423864130956015,3.6167597537731195,4.380742828694207,3.9038958079871797,3.4471077291299723,3.0659133097464117,3.5467994205458737,3.7397304156161537,3.6241186089178754,4.10844426473685,0.0,3.800881296828196,3.8451214872050734,3.6777439409197252,3.7063024857829605,3.985825846866571,3.3390996019828396,4.080208736726156,3.0434790722582514,3.4048674988704475,3.367590812201253,3.657735438937042,3.509395816084324,4.496470774421161,3.6630856240094345,3.47066127780196,3.6875783131359365,3.4877453646465373,3.00041265957083
cell543_K562_,4.2875567229971745,3.4725483339057543,4.280650776471669,7.286072343083962,3.129122142846347,1.3248031581494308,5.393726311746137,4.227738197110142,2.9798722176193007,4.839513221334982,3.47638960070819,1.8526850720660488,2.4214751836642714,6.645886945607355,2.3999988510033665,3.5771299517802158,3.0351401699218927,2.227316066632107,4.464855539240354,1.6218072873640392,5.059332717040302,3.800881296828196,0.0,1.6944196889838845,4.415093091589046,4.457919051333735,2.438582794336761,3.4435893960986017,2.1890032967698927,2.4191749435311207,2.935394717627891,3.314110351317646,5.243670569689286,4.5597348936006785,3.6772780207052698,4.5600544305450335,4.844368921617797,1.4597852495459525,2.7103882657583824,2.3234974447229946
cell513_K562_,4.315489820468207,4.074785818536976,3.9934959148120868,8.200763341470667,3.785834361258641,1.1878790897818097,5.783189639080117,4.57054930791168,3.0506883263080065,5.316596556080885,3.7833290744636976,1.6747851945001033,2.3287992487412605,7.172113271487621,2.5094186294541214,3.4233161325358124,3.088579123108881,1.9216781376506709,4.89537600424407,2.2260711861881433,5.149954705972386,3.8451214872050734,1.6944196889838845,0.0,4.808868041918905,4.740702512277495,2.6602347207225505,3.6435283977562842,1.7391866030518348,2.398861353573425,3.200057677798667,3.176336698836078,5.634434101503015,5.204829759043733,3.6469651635792624,4.894285437295352,5.391901938080512,1.8218839129317934,2.981518585042287,2.1496746859789404
cell329_HeLa_,2.9755324686659765,2.5567251736934913,4.947283337735601,3.5976438247244826,2.882322592312595,4.546109507437945,3.1135523071693196,3.4008764281782913,2.6685672800812865,3.096514413512252,3.342296377436134,4.06810830139964,4.814503759774803,3.1747581995067455,3.8070154591966725,3.6840963119461634,3.2631334305664508,3.9749476132220622,2.5607609501985253,4.0145313760974854,3.971396167821539,3.6777439409197252,4.415093091589046,4.808868041918905,0.0,3.675806303866196,4.729169907576008,3.545884041147997,5.517439318846391,3.299394808188647,3.5858203648286837,3.443099989525618,3.0543757623376697,2.893363713574037,4.223250535505326,3.0028780972905116,2.439565266645875,4.263152652408197,3.5996055892675947,3.793080466169717
cell603_GM12878_,3.5904575963238687,2.923579359960004,4.847700359027661,4.656734910385802,3.5036947400017433,4.4251061492564405,3.615939211596691,3.931190570198935,3.37735152053614,3.6973025412144613,3.399802986047643,3.9172376319574003,4.340620004620568,4.217850069096353,4.321042950131712,3.7210273992224248,3.5931549480338996,4.311495638428265,3.3544535466616274,3.658169745605135,4.714705011508041,3.7063024857829605,4.457919051333735,4.740702512277495,3.675806303866196,0.0,4.379292513364839,3.8091184821760624,5.182081375149576,3.3818846284087734,3.6674644905054334,3.36119308250156,3.7139006431656547,3.7665072864632347,4.747365352488227,3.4570808553788432,3.486648558129055,4.1454300564697615,3.329291145719437,3.799635498624129
cell542_GM12878_,4.247324684786092,3.956045785957091,4.133348629288836,7.584374739141269,4.089935270798414,2.5193579653935867,5.4217899085076695,4.204970328605313,3.473212722754167,5.34824719017397,3.9285246681608337,2.9028343880669665,3.312750026361474,6.301160734954925,3.295114722375063,3.412935931753083,3.5769253151718443,2.9719142152920677,4.751905832890765,3.1031722275573452,5.0935811079489515,3.985825846866571,2.438582794336761,2.6602347207225505,4.729169907576008,4.379292513364839,0.0,4.548432060261494,2.998715198811488,3.300000798578084,3.362320900014473,3.516458699532812,5.514751351919253,5.238742595498137,3.9255378337571845,5.051643600399068,5.360978660805867,2.6102642275145547,3.5885966367989277,2.7291708542723234
cell402_HAP1_,3.3478172848706955,2.750976712000748,4.663288628808775,4.668428057826028,2.699893398100253,3.2887623843194107,3.9196012911112463,3.9407110242602648,2.5702491249593837,3.8230579167061185,3.3408535826016212,3.3434216047700396,3.3499377423468095,4.864317765621056,3.781783225341535,3.6681593655566695,2.770352130773352,3.1344784222911044,3.5992328724713945,3.100537269702591,4.579091169564576,3.3390996019828396,3.4435893960986017,3.6435283977562842,3.545884041147997,3.8091184821760624,4.548432060261494,0.0,4.144264704242628,2.7808966007297546,3.395399223945634,3.2513524486265784,3.792741310569622,3.077076079126916,4.224945751196948,3.043213520233163,3.54228686573252,3.3381135013253314,3.14871797925219,2.66501580264653
cell560_K562_,4.821570206599315,4.325648011671927,4.070951049997305,8.506079787987726,4.19743102038561,1.6939523486877857,6.2604930004313015,4.806381820151357,3.588338185055153,5.4030261508909465,4.2738092555034655,2.124279605663977,2.480041281807325,7.421388161407503,2.8928696942291316,3.6624204389069748,3.3545949548673475,2.41226768634504,5.214146796468697,3.1215476089326475,5.690687665487262,4.080208736726156,2.1890032967698927,1.7391866030518348,5.517439318846391,5.182081375149576,2.998715198811488,4.144264704242628,0.0,2.95936146333064,3.461735423533301,3.6043067955908885,6.135120628970087,5.745113603895157,4.133706695792121,5.219898463455359,5.8790027004595,2.680454985296809,3.4660882879361683,2.438671817553007
cell319_HeLa_,3.527542747513964,2.427874361797845,3.526205624742007,5.484344645642512,2.6352189986314984,2.070645788848471,3.920240492274098,3.4873071595785463,2.1065766287907595,3.900356271396441,2.414538925200985,2.150058541743521,2.439479926069248,4.691020186863611,2.6732599831847565,2.8678713246170995,2.475481251907129,2.3259094347633194,3.4364105297117593,2.122918522385353,4.285149100547484,3.0434790722582514,2.4191749435311207,2.398861353573425,3.299394808188647,3.3818846284087734,3.300000798578084,2.7808966007297546,2.95936146333064,0.0,2.8289586102232693,2.624113131538123,4.104862783783291,3.662769236554066,3.4819107984695057,3.465483312802862,3.5053021692261197,2.414438336820546,2.781098803534637,2.1227555554128497
