,file_name,nonzero_values
834,arc_pair_646381,977
835,arc_pair_481892,379
836,arc_pair_279306,271
837,arc_pair_635705,320
838,arc_pair_606966,1034
839,arc_pair_450861,585
840,arc_pair_529323,371
841,arc_pair_649977,381
842,arc_pair_438650,298
843,arc_pair_686563,403
844,arc_pair_524511,604
845,arc_pair_495078,350
846,arc_pair_692465,272
847,arc_pair_432748,402
848,arc_pair_731832,441
849,arc_pair_15034,428
850,arc_pair_43654,507
851,arc_pair_416647,359
852,arc_pair_397691,592
853,arc_pair_14275,407
854,arc_pair_504148,374
855,arc_pair_317397,423
856,arc_pair_24339,480
857,arc_pair_725488,418
858,arc_pair_61725,506
859,arc_pair_688438,525
860,arc_pair_136657,437
861,arc_pair_365102,485
862,arc_pair_543569,324
863,arc_pair_415591,314
864,arc_pair_218584,510
865,arc_pair_674161,476
866,arc_pair_474256,417
867,arc_pair_328250,350
868,arc_pair_48736,1848
869,arc_pair_436475,419
870,arc_pair_109790,279
871,arc_pair_169538,557
872,arc_pair_732199,390
873,arc_pair_57139,647
874,arc_pair_706995,299
875,arc_pair_547204,568
876,arc_pair_202536,296
877,arc_pair_514373,490
878,arc_pair_51901,487
879,arc_pair_489325,417
880,arc_pair_58389,464
881,arc_pair_681422,331
882,arc_pair_677258,402
883,arc_pair_199629,538
884,arc_pair_251857,238
885,arc_pair_358017,272
886,arc_pair_505831,269
887,arc_pair_605864,301
888,arc_pair_107018,266
889,arc_pair_448505,329
890,arc_pair_564708,755
891,arc_pair_450836,389
892,arc_pair_621711,305
893,arc_pair_511258,418
894,arc_pair_314153,1907
895,arc_pair_662689,326
896,arc_pair_133547,433
897,arc_pair_54579,331
898,arc_pair_210788,257
899,arc_pair_380416,491
900,arc_pair_37407,302
901,arc_pair_609328,338
902,arc_pair_577962,295
903,arc_pair_688195,557
904,arc_pair_444033,624
905,arc_pair_266948,313
906,arc_pair_725826,449
907,arc_pair_682961,414
908,arc_pair_495490,337
909,arc_pair_425873,818
910,arc_pair_559563,532
911,arc_pair_323365,317
912,arc_pair_279828,613
913,arc_pair_670134,245
914,arc_pair_484444,389
915,arc_pair_642045,473
916,arc_pair_16989,308
917,arc_pair_124152,511
918,arc_pair_412995,427
919,arc_pair_402096,419
920,arc_pair_256238,286
921,arc_pair_254205,515
922,arc_pair_307505,380
923,arc_pair_527110,407
924,arc_pair_574088,819
925,arc_pair_236090,243
926,arc_pair_339007,492
927,arc_pair_89679,641
928,arc_pair_664874,440
929,arc_pair_54353,295
930,arc_pair_323959,1172
931,arc_pair_293322,430
932,arc_pair_263875,317
933,arc_pair_573608,297
934,arc_pair_98087,253
935,arc_pair_556815,427
936,arc_pair_38137,260
937,arc_pair_416939,499
938,arc_pair_41917,350
939,arc_pair_710912,417
940,arc_pair_175018,271
941,arc_pair_681434,268
942,arc_pair_472681,294
943,arc_pair_722863,358
944,arc_pair_598640,894
945,arc_pair_148336,876
946,arc_pair_568947,332
947,arc_pair_230451,414
948,arc_pair_653341,604
949,arc_pair_107777,362
950,arc_pair_713797,258
951,arc_pair_318166,303
952,arc_pair_236356,382
953,arc_pair_180737,396
954,arc_pair_462402,416
955,arc_pair_84677,288
956,arc_pair_35586,897
957,arc_pair_338883,991
958,arc_pair_119913,429
959,arc_pair_31896,326
960,arc_pair_634856,356
961,arc_pair_402700,322
962,arc_pair_707107,916
963,arc_pair_502032,604
964,arc_pair_208654,420
965,arc_pair_85066,328
966,arc_pair_459617,297
967,arc_pair_724372,572
968,arc_pair_400382,435
969,arc_pair_55391,334
970,arc_pair_130392,401
971,arc_pair_125939,392
972,arc_pair_717412,479
973,arc_pair_95573,394
974,arc_pair_662670,324
975,arc_pair_643087,426
976,arc_pair_167249,368
977,arc_pair_575949,271
978,arc_pair_627796,278
979,arc_pair_518080,628
980,arc_pair_108969,349
981,arc_pair_422477,469
982,arc_pair_56339,535
983,arc_pair_150614,318
984,arc_pair_149065,1777
985,arc_pair_38475,719
986,arc_pair_228523,585
987,arc_pair_471445,375
988,arc_pair_355371,426
989,arc_pair_534291,403
990,arc_pair_48777,497
991,arc_pair_102467,388
992,arc_pair_386215,498
993,arc_pair_289282,507
994,arc_pair_675361,367
995,arc_pair_529159,349
996,arc_pair_221702,441
997,arc_pair_351762,468
998,arc_pair_159570,255
999,arc_pair_142296,529
1000,arc_pair_551684,274
1001,arc_pair_632255,460
1002,arc_pair_329115,448
1003,arc_pair_360879,346
1004,arc_pair_190019,320
1005,arc_pair_374990,390
1006,arc_pair_332309,371
1007,arc_pair_113299,487
1008,arc_pair_591066,372
1009,arc_pair_579602,494
1010,arc_pair_106131,335
1011,arc_pair_460741,314
1012,arc_pair_433323,412
1013,arc_pair_469999,465
1014,arc_pair_619806,291
1015,arc_pair_311890,410
1016,arc_pair_631183,525
1017,arc_pair_733726,265
1018,arc_pair_270131,622
1019,arc_pair_688992,415
1020,arc_pair_127816,898
1021,arc_pair_40828,821
1022,arc_pair_470038,279
1023,arc_pair_453758,272
1024,arc_pair_725922,305
1025,arc_pair_686125,341
1026,arc_pair_361012,432
1027,arc_pair_145380,344
1028,arc_pair_654200,513
1029,arc_pair_628822,516
1030,arc_pair_466046,557
1031,arc_pair_289514,503
1032,arc_pair_649598,442
1033,arc_pair_333631,561
1034,arc_pair_638988,359
1035,arc_pair_209012,445
1036,arc_pair_644200,349
1037,arc_pair_516925,494
1038,arc_pair_731062,455
1039,arc_pair_404396,289
1040,arc_pair_645807,279
1041,arc_pair_573433,474
1042,arc_pair_525253,296
1043,arc_pair_249749,537
1044,arc_pair_281962,391
1045,arc_pair_647990,360
1046,arc_pair_586936,800
1047,arc_pair_213809,341
1048,arc_pair_474997,453
1049,arc_pair_540353,429
1050,arc_pair_145695,316
1051,arc_pair_553085,511
1052,arc_pair_18610,372
1053,arc_pair_290220,518
1054,arc_pair_353026,451
1055,arc_pair_388821,317
1056,arc_pair_22701,537
1057,arc_pair_147702,302
1058,arc_pair_511648,426
1059,arc_pair_378398,376
1060,arc_pair_52117,1178
1061,arc_pair_486643,344
1062,arc_pair_160866,366
1063,arc_pair_442518,1107
1064,arc_pair_477656,290
